coregistration/source_target/func_on_anat,signal_modeling/nuisance_regressors,motion_correction_realignment/register_to/mean,coregistration/cost_function/normalised_mutual_information,motion_correction_realignment/register_to/first,signal_modelling/temporal_noise_autocorrelation/FAST,spatial_normalization/template/MNI152_linear,spatial_normalization/interpolation/trilinear,spatial_normalization/template/MNI305,spatial_normalization/algorithm/linear,spatial_normalization/bias_regularisation/light,signal_modeling/nuisance_regressors/motion,coregistration/cost_function/normalised_cross_correlation,spatial_normalization/algorithm/DARTEL,spatial_normalization/bias_regularisation/medium,spatial_normalization/bias_regularisation/very_light,spatial_normalization/bias_fwhm,spatial_smoothing/fwhm,coregistration/cost_function/mutual_information,signal_modelling/temporal_noise_autocorrelation/AR1,slice_timing_correction/ref_slice/middle,slice_timing_correction/ref_slice,signal_modeling/hrf/temporal_derivs,coregistration/cost_function/entropy_correlation_coefficient,spatial_normalization/bias_regularisation/extremely_light,signal_modeling/hrf/canonical,spatial_normalization/interpolation/nearest_neighbour,spatial_normalization/bias_regularisation,signal_modeling/nuisance_regressors/comp_cor,signal_modeling/hrf/temporal_dispersion_derivs,slice_timing_correction/tool,spatial_normalization/interpolation/bspline,spatial_normalization/bias_regularisation/heavy,slice_timing_correction,slice_timing_correction/tool/spm,slice_timing_correction/ref_slice/first,spatial_normalization/template/MNI152_nonlinear,id,from_ref,target
False,True,True,True,False,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,True,True,True,False,0,False,False,False,False,False,True,True,0,True,True,False,False,ref,1.0,0
False,True,False,True,True,True,False,False,False,False,0,18,False,False,0,0,0,6,False,False,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,fc6b67c96acfe27051e91ae24b98cef1c962c7fb49b4a68a3f37786f9a7b3739,0.9537050196645596,0
False,True,False,False,True,False,False,True,False,False,0,18,False,False,0,0,0,6,True,True,False,False,True,False,0,False,False,False,False,False,False,False,0,False,False,False,False,fb2fe3b1e52d07b31db9278f4f93e3bace825fd8c43c9fddfafba767ff0c048d,0.9620153821084114,0
False,True,True,True,False,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,fa0e602c3d737a1f9596df7025546e1b535f2c44099e6918d46adee2e4e979cc,0.978404837729052,0
False,True,False,True,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,False,0,False,False,False,False,True,True,True,0,True,True,False,False,f7f6af763ce10c6251f6a40ba23d06d65059db27016996ef4fe261ee77f366c9,0.959017001190662,0
False,True,False,False,True,False,False,False,False,False,0,24,False,False,0,0,0,6,True,True,True,True,True,False,0,False,True,False,False,False,True,False,0,True,True,False,False,f4e662ea02eb146b89b34c3722a2b8491ab33acffe04b2640dd30845c39c4b4d,0.9644886589817928,0
False,True,False,False,True,True,False,False,False,False,0,24,False,False,0,0,0,6,False,False,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,False,f21f800078d2c7291437e02748ac5d83ba107635abd8d0362413fcf47d21a5c1,0.948859280844357,0
False,True,True,False,False,True,False,False,False,False,0,18,False,False,0,0,0,6,True,False,False,False,False,False,0,False,False,False,False,True,False,True,0,False,False,False,False,f17ef68918388960724c2bfae73a079771aaf959311eae239fcaa21f4af4d2ba,0.952379388338212,0
False,True,False,False,True,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,True,True,False,True,0,False,True,False,False,True,True,False,0,True,True,False,False,f16d9fe0be02758f93babb75adea3d1ecb0129bc9e157f79ee54efbb3d04904c,0.9346276283799452,0
False,True,True,False,False,False,False,False,False,False,0,18,False,False,0,0,0,6,False,True,False,False,False,True,0,True,True,False,False,False,False,False,0,False,False,False,False,efd854c97520d876d11dbbc60711b535a9ac916e712731e3436ebc8627ede84c,0.948000436571225,0
